date,equity_$
2018-06-21,536070.38
2018-06-22,535197.65
2018-06-25,527924.85
2018-06-26,528354.89
2018-06-27,523961.72
2018-06-28,530951.22
2018-06-29,531084.36
2018-07-02,531939.65
2018-07-03,531659.41
2018-07-05,532552.69
2018-07-06,532520.44
2018-07-09,533632.84
2018-07-10,534211.37
2018-07-11,533907.2
2018-07-12,534364.92
2018-07-13,534227.85
2018-07-16,533633.66
2018-07-17,535420.24
2018-07-18,535675.4
2018-07-19,536050.53
2018-07-20,536072.79
2018-07-23,536518.78
2018-07-24,536626.7
2018-07-25,537643.43
2018-07-26,538073.5
2018-07-27,537990.75
2018-07-30,535808.05
2018-07-31,536992.18
2018-08-01,537958.34
2018-08-02,539373.58
2018-08-03,539382.32
2018-08-06,539732.44
2018-08-07,540351.22
2018-08-08,540805.01
2018-08-09,540849.46
2018-08-10,540750.25
2018-08-13,540718.35
2018-08-14,541104.42
2018-08-15,539998.55
2018-08-16,541087.72
2018-08-17,537719.87
2018-08-20,538121.75
2018-08-21,538538.03
2018-08-22,538961.92
2018-08-23,539087.7
2018-08-24,538992.13
2018-08-27,539748.24
2018-08-28,540087.31
2018-08-29,540381.09
2018-08-30,540399.42
2018-08-31,540297.94
2018-09-04,540871.52
2018-09-05,538822.67
2018-09-06,535562.54
2018-09-07,535252.64
2018-09-10,535213.04
2018-09-11,535022.05
2018-09-12,533090.89
2018-09-13,534083.12
2018-09-14,536716.24
2018-09-17,535396.35
2018-09-18,536183.51
2018-09-19,536515.05
2018-09-20,537301.44
2018-09-21,536858.34
2018-09-24,537635.66
2018-09-25,537515.98
2018-09-26,537689.12
2018-09-27,538262.91
2018-09-28,538221.56
2018-10-01,539110.91
2018-10-02,538994.53
2018-10-03,539514.37
2018-10-04,537527.3
2018-10-05,534499.09
2018-10-08,533479.12
2018-10-09,534417.93
2018-10-10,520182.51
2018-10-11,516763.5
2018-10-12,527767.03
2018-10-15,525835.85
2018-10-16,529308.95
2018-10-17,529384.73
2018-10-18,528907.56
2018-10-19,527403.24
2018-10-22,528610.04
2018-10-23,527240.51
2018-10-24,514028.23
2018-10-25,523859.94
2018-10-26,512297.96
2018-10-29,509848.67
2018-10-30,513862.93
2018-10-31,515176.89
2018-11-01,515314.37
2018-11-02,515114.86
2018-11-05,515104.21
2018-11-06,515657.98
2018-11-07,517147.48
2018-11-08,517276.14
2018-11-09,517665.0
2018-11-12,513325.52
2018-11-13,516649.18
2018-11-14,517243.26
2018-11-15,520406.6
2018-11-16,507067.63
2018-11-19,500634.77
2018-11-20,501768.16
2018-11-21,504551.01
2018-11-23,506712.13
2018-11-26,509224.06
2018-11-27,509771.57
2018-11-28,510243.98
2018-11-29,510315.63
2018-11-30,510096.03
2018-12-03,512087.43
2018-12-04,509208.74
2018-12-06,511860.87
2018-12-07,508432.75
2018-12-10,509913.83
2018-12-11,510423.93
2018-12-12,511372.43
2018-12-13,511957.95
2018-12-14,511766.08
2018-12-17,510992.5
2018-12-18,513270.84
2018-12-19,511760.81
2018-12-20,512112.13
2018-12-21,510154.91
2018-12-24,507663.37
2018-12-26,512299.72
2018-12-27,512420.34
2018-12-28,512257.15
2018-12-31,513416.35
2019-01-02,513966.98
2019-01-03,508510.96
2019-01-04,511366.27
2019-01-07,513105.5
2019-01-08,513497.67
2019-01-09,514234.72
2019-01-10,514337.78
2019-01-11,514116.93
2019-01-14,513850.66
2019-01-15,514869.51
2019-01-16,514853.35
2019-01-17,515846.78
2019-01-18,516792.77
2019-01-22,514737.77
2019-01-23,516345.55
2019-01-24,518970.4
2019-01-25,519012.15
2019-01-28,510004.25
2019-01-29,503775.68
2019-01-30,511160.25
2019-01-31,515682.17
2019-02-01,515659.06
2019-02-04,517349.58
2019-02-05,517951.75
2019-02-06,518354.11
2019-02-07,518339.61
2019-02-08,518203.12
2019-02-11,519071.29
2019-02-12,520362.38
2019-02-13,520687.78
2019-02-14,520865.24
2019-02-15,520690.94
2019-02-19,521723.33
2019-02-20,522394.9
2019-02-21,522866.15
2019-02-22,522857.21
2019-02-25,523606.99
2019-02-26,524167.79
2019-02-27,524434.35
2019-02-28,524891.06
2019-03-01,525212.42
2019-03-04,525491.2
2019-03-05,525561.62
2019-03-06,524544.81
2019-03-07,522301.58
2019-03-08,520397.34
2019-03-11,521558.34
2019-03-12,521623.11
2019-03-13,521628.93
2019-03-14,521629.08
2019-03-15,521507.56
2019-03-18,521786.18
2019-03-19,522711.52
2019-03-20,522777.21
2019-03-21,523026.72
2019-03-22,522878.35
2019-03-25,522581.1
2019-03-26,523796.38
2019-03-27,524138.59
2019-03-28,524507.94
2019-03-29,524581.63
